Are.you.self.employed.,How.many.employees.does.your.company.or.organization.have.,Is.your.employer.primarily.a.tech.company.organization.,Is.your.primary.role.within.your.company.related.to.tech.IT.,Does.your.employer.provide.mental.health.benefits.as.part.of.healthcare.coverage.,Do.you.know.the.options.for.mental.health.care.available.under.your.employer.provided.coverage.,Has.your.employer.ever.formally.discussed.mental.health..for.example..as.part.of.a.wellness.campaign.or.other.official.communication..,Does.your.employer.offer.resources.to.learn.more.about.mental.health.concerns.and.options.for.seeking.help.,Is.your.anonymity.protected.if.you.choose.to.take.advantage.of.mental.health.or.substance.abuse.treatment.resources.provided.by.your.employer.,If.a.mental.health.issue.prompted.you.to.request.a.medical.leave.from.work..asking.for.that.leave.would.be.,Do.you.think.that.discussing.a.mental.health.disorder.with.your.employer.would.have.negative.consequences.,Do.you.think.that.discussing.a.physical.health.issue.with.your.employer.would.have.negative.consequences.,Would.you.feel.comfortable.discussing.a.mental.health.disorder.with.your.coworkers.,Would.you.feel.comfortable.discussing.a.mental.health.disorder.with.your.direct.supervisor.s..,Do.you.feel.that.your.employer.takes.mental.health.as.seriously.as.physical.health.,Have.you.heard.of.or.observed.negative.consequences.for.co.workers.who.have.been.open.about.mental.health.issues.in.your.workplace.,Do.you.have.medical.coverage..private.insurance.or.state.provided..which.includes.treatment.of..mental.health.issues.,Do.you.know.local.or.online.resources.to.seek.help.for.a.mental.health.disorder.,If.you.have.been.diagnosed.or.treated.for.a.mental.health.disorder..do.you.ever.reveal.this.to.clients.or.business.contacts.,If.you.have.revealed.a.mental.health.issue.to.a.client.or.business.contact..do.you.believe.this.has.impacted.you.negatively.,If.you.have.been.diagnosed.or.treated.for.a.mental.health.disorder..do.you.ever.reveal.this.to.coworkers.or.employees.,If.you.have.revealed.a.mental.health.issue.to.a.coworker.or.employee..do.you.believe.this.has.impacted.you.negatively.,Do.you.believe.your.productivity.is.ever.affected.by.a.mental.health.issue.,If.yes..what.percentage.of.your.work.time..time.performing.primary.or.secondary.job.functions..is.affected.by.a.mental.health.issue.,Do.you.have.previous.employers.,Have.your.previous.employers.provided.mental.health.benefits.,Were.you.aware.of.the.options.for.mental.health.care.provided.by.your.previous.employers.,Did.your.previous.employers.ever.formally.discuss.mental.health..as.part.of.a.wellness.campaign.or.other.official.communication..,Did.your.previous.employers.provide.resources.to.learn.more.about.mental.health.issues.and.how.to.seek.help.,Was.your.anonymity.protected.if.you.chose.to.take.advantage.of.mental.health.or.substance.abuse.treatment.resources.with.previous.employers.,Do.you.think.that.discussing.a.mental.health.disorder.with.previous.employers.would.have.negative.consequences.,Do.you.think.that.discussing.a.physical.health.issue.with.previous.employers.would.have.negative.consequences.,Would.you.have.been.willing.to.discuss.a.mental.health.issue.with.your.previous.co.workers.,Would.you.have.been.willing.to.discuss.a.mental.health.issue.with.your.direct.supervisor.s..,Did.you.feel.that.your.previous.employers.took.mental.health.as.seriously.as.physical.health.,Did.you.hear.of.or.observe.negative.consequences.for.co.workers.with.mental.health.issues.in.your.previous.workplaces.,Would.you.be.willing.to.bring.up.a.physical.health.issue.with.a.potential.employer.in.an.interview.,Would.you.bring.up.a.mental.health.issue.with.a.potential.employer.in.an.interview.,Do.you.feel.that.being.identified.as.a.person.with.a.mental.health.issue.would.hurt.your.career.,Do.you.think.that.team.members.co.workers.would.view.you.more.negatively.if.they.knew.you.suffered.from.a.mental.health.issue.,How.willing.would.you.be.to.share.with.friends.and.family.that.you.have.a.mental.illness.,Have.you.observed.or.experienced.an.unsupportive.or.badly.handled.response.to.a.mental.health.issue.in.your.current.or.previous.workplace.,Do.you.have.a.family.history.of.mental.illness.,Have.you.had.a.mental.health.disorder.in.the.past.,Do.you.currently.have.a.mental.health.disorder.,Have.you.been.diagnosed.with.a.mental.health.condition.by.a.medical.professional.,Have.you.ever.sought.treatment.for.a.mental.health.issue.from.a.mental.health.professional.,If.you.have.a.mental.health.issue..do.you.feel.that.it.interferes.with.your.work.when.being.treated.effectively.,If.you.have.a.mental.health.issue..do.you.feel.that.it.interferes.with.your.work.when.NOT.being.treated.effectively.,What.is.your.age.,What.is.your.gender.,What.country.do.you.live.in.,What.US.state.or.territory.do.you.live.in.,What.country.do.you.work.in.,What.US.state.or.territory.do.you.work.in.,Which.of.the.following.best.describes.your.work.position.,Do.you.work.remotely.
No,100-500,Yes,Tech Company,Yes,Yes,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,Maybe,Maybe,No,Yes,Sometimes,Not applicable to me,41,male,Spain,Does not live in US,Spain,Does not work in US,Executive Leadership,Sometimes
No,26-100,Yes,Tech Company,No,No,No,No,I don't know,Somewhat easy,No,No,Maybe,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,Maybe,Maybe,Neutral,No,No,No,Maybe,No,No,Sometimes,Sometimes,37,male,Germany,Does not live in US,Germany,Does not work in US,DevOps/SysAdmin,Sometimes
No,100-500,Yes,Tech Company,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,No,Maybe,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,Rarely,Often,32,male,United States of America,Texas,United States of America,Texas,Back-end Developer,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"Yes, I know several","Sometimes, if it comes up",I'm not sure,"Yes, always",Yes,Yes,51-75%,Yes,"No, none did",N/A (not currently aware),Some did,None did,I don't know,"Yes, all of them","Yes, all of them","Yes, at all of my previous employers","Yes, at all of my previous employers",None did,Some of them,Yes,Yes,Maybe,Maybe,Very open,"Yes, I observed",Yes,Yes,Maybe,Yes,Yes,Rarely,Not applicable to me,26,male,Austria,Does not live in US,Austria,Does not work in US,Designer|Front-end Developer,Always
No,25-Jun,Yes,Tech Company,Yes,No,Yes,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, they do not",Very open,No,Yes,Maybe,Yes,No,No,Rarely,Rarely,38,male,Netherlands,Does not live in US,Netherlands,Does not work in US,Back-end Developer,Never
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,I know some,Not applicable to me,N/A,Not applicable to me,No,Yes,26-50%,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,Maybe,Maybe,Maybe,Not open at all,"Yes, I observed",Yes,No,Maybe,No,No,Not applicable to me,Sometimes,21,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Executive Leadership|Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer,Always
No,25-Jun,Yes,Tech Company,Yes,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, it has","Yes, I think they would",Somewhat open,No,Yes,Yes,Yes,Yes,Yes,Rarely,Often,27,male,United States of America,Colorado,United States of America,Colorado,Front-end Developer,Sometimes
No,5-Jan,No,Yes,No,I am not sure,No,I don't know,No,Very difficult,Yes,Maybe,No,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,Rarely,Often,37,female,United States of America,Louisiana,United States of America,Louisiana,Support,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"No, I don't know any","No, because it would impact me negatively",Yes,"No, because it would impact me negatively",Yes,Yes,26-50%,Yes,"No, none did","Yes, I was aware of all of them",None did,None did,No,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,No,"Yes, it has","Yes, they do",Neutral,"Yes, I experienced",I don't know,Yes,Maybe,No,Yes,Sometimes,Often,45,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Other,Always
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,No,"Yes, I know several",Not applicable to me,No,Not applicable to me,No,Not applicable to me,Not Affected or Unsure,Yes,I don't know,I was aware of some,None did,Some did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,Some of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,No,No,No,Not applicable to me,Not applicable to me,26,male,United States of America,New York,United States of America,New York,One-person shop|Designer|Sales|Executive Leadership,Sometimes
No,25-Jun,No,Yes,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Maybe,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,Sometimes,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Maybe,Maybe,No,No,Not applicable to me,Sometimes,30,female,United States of America,New York,United States of America,New York,Back-end Developer,Sometimes
No,More than 1000,Yes,Tech Company,No,No,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Very open,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,21,male,United States of America,Tennessee,United States of America,Tennessee,Other,Sometimes
No,More than 1000,No,Yes,I don't know,I am not sure,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat not open,"Yes, I experienced",I don't know,Yes,Maybe,Yes,Yes,Rarely,Often,21,male,United States of America,Massachusetts,United States of America,New York,Other,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"Yes, I know several",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Not applicable to me,Not Affected or Unsure,Yes,I don't know,N/A (not currently aware),Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,No,No,No,No,No,No,Not applicable to me,Not applicable to me,29,male,Germany,Does not live in US,Germany,Does not work in US,DevOps/SysAdmin|Back-end Developer|Front-end Developer|One-person shop,Sometimes
No,More than 1000,No,Yes,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,No,No,No,No,Not applicable to me,Not applicable to me,46,male,United States of America,Missouri,United States of America,Missouri,DevOps/SysAdmin,Sometimes
No,500-1000,Yes,Tech Company,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,28,male,United States of America,California,United States of America,California,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
No,100-500,No,Yes,Yes,No,No,No,Yes,I don't know,Yes,Yes,No,No,No,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,Often,Often,26,Other/No Response,United States of America,Pennsylvania,United States of America,Pennsylvania,Support|Back-end Developer|Front-end Developer|Designer,Never
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,I know some,"No, because it would impact me negatively",I'm not sure,"Sometimes, if it comes up",No,Yes,26-50%,Yes,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,37,female,United States of America,Connecticut,United States of America,Connecticut,Supervisor/Team Lead|Support|One-person shop|Designer|Front-end Developer|Sales,Always
No,More than 1000,Yes,Tech Company,Yes,I am not sure,I don't know,Yes,Yes,Neither easy nor difficult,Yes,Yes,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,No,No,Not applicable to me,Not applicable to me,44,male,United States of America,Ohio,United States of America,Ohio,Support,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,No,I know some,"No, because it would impact me negatively",I'm not sure,"No, because it would impact me negatively",I'm not sure,Yes,26-50%,Yes,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,Rarely,Often,45,female,United States of America,California,United States of America,California,One-person shop|Designer|Support,Always
No,5-Jan,Yes,Tech Company,I don't know,I am not sure,I don't know,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,I don't know,Some did,Sometimes,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,Yes,Maybe,Maybe,Maybe,Neutral,N/A,I don't know,No,No,No,Yes,Not applicable to me,Not applicable to me,35,female,United States of America,Massachusetts,United States of America,Massachusetts,Front-end Developer,Always
No,26-100,Yes,Tech Company,Yes,Yes,Yes,Yes,Yes,I don't know,No,No,Maybe,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,Maybe,"No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,39,male,United States of America,Michigan,United States of America,Michigan,Back-end Developer,Never
No,More than 1000,No,Yes,I don't know,I am not sure,I don't know,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,No,Yes,No,Yes,Yes,Not applicable to me,Not applicable to me,37,female,United States of America,Connecticut,United States of America,Connecticut,Back-end Developer,Sometimes
No,100-500,No,Yes,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,I was aware of some,None did,None did,I don't know,None of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",No,No,No,No,No,Not applicable to me,Not applicable to me,35,male,United States of America,Florida,United States of America,Florida,Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer|One-person shop,Sometimes
No,More than 1000,Yes,Tech Company,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Yes,Maybe,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,Rarely,Not applicable to me,29,female,United States of America,New York,United States of America,New York,Supervisor/Team Lead,Never
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"No, I don't know any","Sometimes, if it comes up",N/A,"Sometimes, if it comes up",Not applicable to me,Yes,26-50%,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",I don't know,Yes,No,Yes,Yes,Sometimes,Often,49,female,United States of America,California,United States of America,California,Other,Never
No,26-100,Yes,Tech Company,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,I don't know,Some did,None of them,Maybe,No,"Yes, I think it would",Maybe,Very open,No,I don't know,Yes,Yes,Yes,Yes,Rarely,Often,21,male,United States of America,Virginia,United States of America,Virginia,Back-end Developer|Front-end Developer,Sometimes
No,26-100,Yes,Tech Company,Yes,Yes,No,Yes,Yes,Very difficult,Yes,Maybe,Maybe,Maybe,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Maybe,Yes,Yes,Sometimes,Often,26,female,United States of America,Michigan,United States of America,Michigan,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Sometimes
No,100-500,Yes,Tech Company,Yes,I am not sure,Yes,No,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,"No, I don't think they would",Neutral,No,Yes,Maybe,Maybe,Yes,Yes,Sometimes,Often,35,male,Germany,Does not live in US,Germany,Does not work in US,Supervisor/Team Lead,Never
No,100-500,No,Yes,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did","No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"No, it has not","No, I don't think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,Never,Often,56,male,United States of America,Missouri,United States of America,Missouri,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"Yes, I know several","No, because it would impact me negatively",Yes,"Sometimes, if it comes up",Yes,Yes,1-25%,Yes,Some did,"No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,"Yes, all of them",Maybe,No,"Yes, it has","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Rarely,Often,53,female,United States of America,Oregon,United States of America,Oregon,Other|Front-end Developer|Designer|One-person shop,Always
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,I know some,"No, because it would impact me negatively",Yes,"No, because it would impact me negatively",Yes,Yes,26-50%,Yes,"Yes, they all did",I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Maybe,No,"Yes, I think it would","Yes, they do",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,48,female,United States of America,Colorado,United States of America,Colorado,Executive Leadership,Sometimes
No,26-100,Yes,Tech Company,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Yes,Maybe,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,No,No,No,No,No,Not applicable to me,Not applicable to me,24,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Back-end Developer,Never
No,More than 1000,Yes,Tech Company,No,I am not sure,No,No,I don't know,Somewhat easy,Yes,Maybe,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, it has",Maybe,Not open at all,Maybe/Not sure,No,Yes,Yes,No,No,Sometimes,Often,37,male,Ireland,Does not live in US,Ireland,Does not work in US,Back-end Developer,Never
No,26-100,No,Yes,No,Yes,No,No,I don't know,Very difficult,Yes,Maybe,Yes,Maybe,No,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,No,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,Sometimes,Often,27,female,United States of America,Pennsylvania,United States of America,Pennsylvania,Designer,Never
No,5-Jan,Yes,Tech Company,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,39,female,United States of America,Pennsylvania,United States of America,Pennsylvania,Back-end Developer|Front-end Developer,Sometimes
